Trace1,
Freq,,Amp,,
             3159921,Hz,              -99.56, dBm,
             3173254,Hz,             -103.08, dBm,
             3186587,Hz,             -105.27, dBm,
             3199920,Hz,              -98.94, dBm,
             3213253,Hz,              -93.42, dBm,
             3226586,Hz,              -99.81, dBm,
             3239919,Hz,              -97.63, dBm,
             3253252,Hz,              -97.07, dBm,
             3266585,Hz,              -98.95, dBm,
             3279918,Hz,             -109.61, dBm,
             3293251,Hz,             -106.09, dBm,
             3306584,Hz,             -101.06, dBm,
             3319917,Hz,             -101.06, dBm,
             3333250,Hz,             -104.39, dBm,
             3346583,Hz,             -106.09, dBm,
             3359916,Hz,             -105.59, dBm,
             3373249,Hz,             -100.07, dBm,
             3386582,Hz,             -100.97, dBm,
             3399915,Hz,              -96.72, dBm,
             3413248,Hz,             -102.98, dBm,
             3426581,Hz,             -109.12, dBm,
             3439914,Hz,             -101.66, dBm,
             3453247,Hz,              -99.26, dBm,
             3466580,Hz,              -99.42, dBm,
             3479913,Hz,             -100.07, dBm,
             3493246,Hz,             -100.60, dBm,
             3506579,Hz,              -96.96, dBm,
             3519912,Hz,             -104.83, dBm,
             3533245,Hz,             -104.13, dBm,
             3546578,Hz,             -101.36, dBm,
             3559911,Hz,             -109.37, dBm,
             3573244,Hz,              -99.42, dBm,
             3586577,Hz,             -103.11, dBm,
             3599910,Hz,              -94.91, dBm,
             3613243,Hz,             -105.14, dBm,
             3626576,Hz,             -104.84, dBm,
             3639909,Hz,              -98.82, dBm,
             3653242,Hz,             -105.29, dBm,
             3666575,Hz,              -94.82, dBm,
             3679908,Hz,              -99.83, dBm,
             3693241,Hz,              -99.20, dBm,
             3706574,Hz,             -101.37, dBm,
             3719907,Hz,             -105.30, dBm,
             3733240,Hz,             -100.89, dBm,
             3746573,Hz,              -95.60, dBm,
             3759906,Hz,              -96.97, dBm,
             3773239,Hz,              -98.54, dBm,
             3786572,Hz,              -94.46, dBm,
             3799905,Hz,              -98.83, dBm,
             3813238,Hz,             -103.00, dBm,
             3826571,Hz,             -105.78, dBm,
             3839904,Hz,              -95.92, dBm,
             3853237,Hz,              -99.44, dBm,
             3866570,Hz,             -101.89, dBm,
             3879903,Hz,              -99.21, dBm,
             3893236,Hz,              -98.69, dBm,
             3906569,Hz,              -93.50, dBm,
             3919902,Hz,              -96.13, dBm,
             3933235,Hz,             -100.45, dBm,
             3946568,Hz,             -104.42, dBm,
             3959901,Hz,              -94.52, dBm,
             3973234,Hz,             -105.47, dBm,
             3986567,Hz,              -96.19, dBm,
             3999900,Hz,              -98.00, dBm,
             4013233,Hz,             -100.36, dBm,
             4026566,Hz,              -98.20, dBm,
             4039899,Hz,             -108.24, dBm,
             4053232,Hz,              -99.45, dBm,
             4066565,Hz,             -104.29, dBm,
             4079898,Hz,             -101.90, dBm,
             4093231,Hz,             -101.39, dBm,
             4106564,Hz,             -102.44, dBm,
             4119897,Hz,             -101.29, dBm,
             4133230,Hz,              -94.57, dBm,
             4146563,Hz,              -99.78, dBm,
             4159896,Hz,             -104.16, dBm,
             4173229,Hz,             -102.44, dBm,
             4186562,Hz,              -97.55, dBm,
             4199895,Hz,              -99.22, dBm,
             4213228,Hz,              -97.12, dBm,
             4226561,Hz,             -102.12, dBm,
             4239894,Hz,             -103.90, dBm,
             4253227,Hz,             -101.30, dBm,
             4266560,Hz,              -98.28, dBm,
             4279893,Hz,              -99.07, dBm,
             4293226,Hz,              -99.54, dBm,
             4306559,Hz,             -109.92, dBm,
             4319892,Hz,             -103.03, dBm,
             4333225,Hz,             -102.68, dBm,
             4346558,Hz,             -108.47, dBm,
             4359891,Hz,              -95.84, dBm,
             4373224,Hz,              -96.16, dBm,
             4386557,Hz,              -95.09, dBm,
             4399890,Hz,              -96.16, dBm,
             4413223,Hz,             -102.45, dBm,
             4426556,Hz,             -102.13, dBm,
             4439889,Hz,              -94.54, dBm,
             4453222,Hz,             -100.13, dBm,
             4466555,Hz,             -105.18, dBm,
             4479888,Hz,             -100.21, dBm,
             4493221,Hz,              -95.34, dBm,
             4506554,Hz,             -103.78, dBm,
             4519887,Hz,             -103.28, dBm,
             4533220,Hz,             -100.05, dBm,
             4546553,Hz,             -100.93, dBm,
             4559886,Hz,             -100.22, dBm,
             4573219,Hz,              -93.07, dBm,
             4586552,Hz,              -97.08, dBm,
             4599885,Hz,             -101.32, dBm,
             4613218,Hz,             -104.74, dBm,
             4626551,Hz,              -98.58, dBm,
             4639884,Hz,              -99.09, dBm,
             4653217,Hz,              -99.97, dBm,
             4666550,Hz,              -99.80, dBm,
             4679883,Hz,             -106.69, dBm,
             4693216,Hz,              -95.96, dBm,
             4706549,Hz,             -102.14, dBm,
             4719882,Hz,             -100.40, dBm,
             4733215,Hz,             -100.67, dBm,
             4746548,Hz,             -104.61, dBm,
             4759881,Hz,              -99.03, dBm,
             4773214,Hz,              -98.59, dBm,
             4786547,Hz,             -104.61, dBm,
             4799880,Hz,             -101.33, dBm,
             4813213,Hz,              -96.80, dBm,
             4826546,Hz,              -97.46, dBm,
             4839879,Hz,              -99.65, dBm,
             4853212,Hz,             -105.36, dBm,
             4866545,Hz,              -99.11, dBm,
             4879878,Hz,             -100.06, dBm,
             4893211,Hz,             -108.50, dBm,
             4906544,Hz,             -101.73, dBm,
             4919877,Hz,             -102.48, dBm,
             4933210,Hz,             -100.59, dBm,
             4946543,Hz,             -102.16, dBm,
             4959876,Hz,             -102.05, dBm,
             4973209,Hz,              -98.89, dBm,
             4986542,Hz,              -97.92, dBm,
             4999875,Hz,             -108.73, dBm,
             5013208,Hz,             -103.55, dBm,
             5026541,Hz,              -96.93, dBm,
             5039874,Hz,             -103.19, dBm,
             5053207,Hz,              -98.12, dBm,
             5066540,Hz,             -102.28, dBm,
             5079873,Hz,              -96.04, dBm,
             5093206,Hz,              -95.78, dBm,
             5106539,Hz,              -98.47, dBm,
             5119872,Hz,             -107.88, dBm,
             5133205,Hz,             -105.86, dBm,
             5146538,Hz,             -104.93, dBm,
             5159871,Hz,             -105.70, dBm,
             5173204,Hz,             -109.22, dBm,
             5186537,Hz,             -103.33, dBm,
             5199870,Hz,              -98.56, dBm,
             5213203,Hz,             -101.37, dBm,
             5226536,Hz,              -98.28, dBm,
             5239869,Hz,             -102.74, dBm,
             5253202,Hz,             -102.98, dBm,
             5266535,Hz,              -97.82, dBm,
             5279868,Hz,             -103.59, dBm,
             5293201,Hz,              -97.96, dBm,
             5306534,Hz,             -104.11, dBm,
             5319867,Hz,             -100.64, dBm,
             5333200,Hz,             -100.55, dBm,
             5346533,Hz,             -102.76, dBm,
             5359866,Hz,             -106.93, dBm,
             5373199,Hz,              -99.87, dBm,
             5386532,Hz,             -105.90, dBm,
             5399865,Hz,              -97.46, dBm,
             5413198,Hz,             -100.38, dBm,
             5426531,Hz,             -101.80, dBm,
             5439864,Hz,              -98.11, dBm,
             5453197,Hz,             -101.70, dBm,
             5466530,Hz,             -104.13, dBm,
             5479863,Hz,             -101.31, dBm,
             5493196,Hz,              -95.05, dBm,
             5506529,Hz,              -97.35, dBm,
             5519862,Hz,              -97.23, dBm,
             5533195,Hz,              -98.60, dBm,
             5546528,Hz,             -106.08, dBm,
             5559861,Hz,             -108.15, dBm,
             5573194,Hz,             -102.90, dBm,
             5586527,Hz,              -93.92, dBm,
             5599860,Hz,              -95.55, dBm,
             5613193,Hz,              -99.05, dBm,
             5626526,Hz,              -97.74, dBm,
             5639859,Hz,             -102.69, dBm,
             5653192,Hz,             -108.16, dBm,
             5666525,Hz,              -99.67, dBm,
             5679858,Hz,             -100.51, dBm,
             5693191,Hz,             -106.62, dBm,
             5706524,Hz,              -98.21, dBm,
             5719857,Hz,              -97.69, dBm,
             5733190,Hz,             -102.05, dBm,
             5746523,Hz,             -105.16, dBm,
             5759856,Hz,             -100.70, dBm,
             5773189,Hz,              -97.39, dBm,
             5786522,Hz,              -98.50, dBm,
             5799855,Hz,             -103.41, dBm,
             5813188,Hz,             -102.71, dBm,
