Trace1,
Freq,,Amp,,
            81983174,Hz,              -81.05, dBm,
            81999840,Hz,              -76.18, dBm,
            82016506,Hz,              -79.37, dBm,
            82033172,Hz,              -82.80, dBm,
            82049838,Hz,              -84.98, dBm,
            82066504,Hz,              -81.65, dBm,
            82083170,Hz,              -78.55, dBm,
            82099836,Hz,              -80.31, dBm,
            82116502,Hz,              -84.62, dBm,
            82133168,Hz,              -89.21, dBm,
            82149834,Hz,              -80.75, dBm,
            82166500,Hz,              -76.64, dBm,
            82183166,Hz,              -88.66, dBm,
            82199832,Hz,              -83.14, dBm,
            82216498,Hz,              -79.76, dBm,
            82233164,Hz,              -81.70, dBm,
            82249830,Hz,              -85.03, dBm,
            82266496,Hz,              -83.99, dBm,
            82283162,Hz,              -83.29, dBm,
            82299828,Hz,              -88.25, dBm,
            82316494,Hz,              -84.25, dBm,
            82333160,Hz,              -88.03, dBm,
            82349826,Hz,              -85.58, dBm,
            82366492,Hz,              -80.75, dBm,
            82383158,Hz,              -84.63, dBm,
            82399824,Hz,              -86.31, dBm,
            82416490,Hz,              -85.74, dBm,
            82433156,Hz,              -86.49, dBm,
            82449822,Hz,              -80.39, dBm,
            82466488,Hz,              -81.40, dBm,
            82483154,Hz,              -82.47, dBm,
            82499820,Hz,              -85.91, dBm,
            82516486,Hz,              -86.35, dBm,
            82533152,Hz,              -84.81, dBm,
            82549818,Hz,              -80.64, dBm,
            82566484,Hz,              -83.98, dBm,
            82583150,Hz,              -87.77, dBm,
            82599816,Hz,              -79.37, dBm,
            82616482,Hz,              -81.85, dBm,
            82633148,Hz,              -87.33, dBm,
            82649814,Hz,              -84.56, dBm,
            82666480,Hz,              -86.14, dBm,
            82683146,Hz,              -81.29, dBm,
            82699812,Hz,              -82.89, dBm,
            82716478,Hz,              -82.75, dBm,
            82733144,Hz,              -87.12, dBm,
            82749810,Hz,              -81.27, dBm,
            82766476,Hz,              -78.92, dBm,
            82783142,Hz,              -78.82, dBm,
            82799808,Hz,              -86.37, dBm,
            82816474,Hz,              -87.64, dBm,
            82833140,Hz,              -88.61, dBm,
            82849806,Hz,              -81.10, dBm,
            82866472,Hz,              -78.15, dBm,
            82883138,Hz,              -83.31, dBm,
            82899804,Hz,              -93.49, dBm,
            82916470,Hz,              -82.33, dBm,
            82933136,Hz,              -89.73, dBm,
            82949802,Hz,              -93.58, dBm,
            82966468,Hz,              -91.97, dBm,
            82983134,Hz,              -85.06, dBm,
            82999800,Hz,              -86.78, dBm,
            83016466,Hz,              -83.03, dBm,
            83033132,Hz,              -82.59, dBm,
            83049798,Hz,              -82.15, dBm,
            83066464,Hz,              -84.64, dBm,
            83083130,Hz,              -84.58, dBm,
            83099796,Hz,              -82.97, dBm,
            83116462,Hz,              -88.02, dBm,
            83133128,Hz,              -82.27, dBm,
            83149794,Hz,              -85.73, dBm,
            83166460,Hz,              -85.11, dBm,
            83183126,Hz,              -79.56, dBm,
